"","Site","Predictor","Category","Count","ReferenceGroup","Term","EffectSize","p_Value","New_column_names","Column_Category","Column_Subcategory","Data_type","Formatted_Predictor","Column_Category_2","PValue"
"213","Fo","Routinely_wax_underarms_Yes","1",14,"0","Routinely_wax_underarms_Yes1",-0.922721622199611,0.382567491765092,"Routinely_wax_underarms","SkinBehavior","Underarm","Character","Routinely wax underarms","SkinBehavior",0.685691810655225
"214","Fo","Swimming_location_Swimming_pool-_Chemically_treated_water","``1",22,"0","`Swimming_location_Swimming_pool-_Chemically_treated_water`1",-0.672668546745658,0.381580415641313,"Swimming_location","SkinBehavior","General","Character","Swimming location (Swimming pool- Chemically treated water)","SkinBehavior",0.685691810655225
"215","Fo","Routinely_shave_underarms_last_time_Today","1",23,"0","Routinely_shave_underarms_last_time_Today1",0.471604910613762,0.389761660793496,"Routinely_shave_underarms_last_time","SkinBehavior","Underarm","Character","Routinely shave underarms last time (Today)","SkinBehavior",0.685691810655225
"216","Ps","Hair_chemical_treatment_location_Professional","1",40,"0","Hair_chemical_treatment_location_Professional1",-0.432647842702794,0.370591846008532,"Hair_chemical_treatment_location","SkinBehavior","Scalp","Character","Hair chemical treatment location (Professional)","SkinBehavior",0.690318144525697
"217","Ps","Itchy_skin_overall_Yes","1",58,"0","Itchy_skin_overall_Yes1",0.341703286041435,0.363356302410196,"Itchy_skin_overall","SkinItch","General","Character","Itchy skin overall","SkinSubclinical",0.690318144525697
"218","Ub","Routinely_shave_bikine_line_last_time_Today","1",11,"0","Routinely_shave_bikine_line_last_time_Today1",0.720779119224611,0.307610172333581,"Routinely_shave_bikine_line_last_time","SkinBehavior","Pubic","Character","Routinely shave bikine line last time (Today)","SkinBehavior",0.701900525470418
"219","Ub","Body_wash_last_time_This_morning","1",128,"0","Body_wash_last_time_This_morning1",0.411443673456307,0.332479196275456,"Body_wash_last_time","SkinBehavior","Body","Character","Body wash last time (This morning)","SkinBehavior",0.701900525470418
"220","Ub","Body_wash_last_time_Yesterday_evening","1",71,"0","Body_wash_last_time_Yesterday_evening1",-0.411443673456303,0.332479196275461,"Body_wash_last_time","SkinBehavior","Body","Character","Body wash last time (Yesterday evening)","SkinBehavior",0.701900525470418
"221","Ub","Hair_chemical_treatment_Yes","1",83,"0","Hair_chemical_treatment_Yes1",0.4004775665967,0.301002370318211,"Hair_chemical_treatment","SkinBehavior","Scalp","Character","Hair chemical treatment","SkinBehavior",0.701900525470418
"222","Ub","Routinely_remove_body_hair_Yes","1",96,"0","Routinely_remove_body_hair_Yes1",0.383241971322397,0.324077995707055,"Routinely_remove_body_hair","SkinBehavior","General","Character","Routinely remove body hair","SkinBehavior",0.701900525470418
"223","Ub","Irritation_heat_1_to_10","NotApplicable",999,"NotApplicable","Irritation_heat_1_to_10",0.176925767137941,0.326429152049824,"Irritation_heat_1_to_10","SkinIrritation","General","Numeric","Irritation heat 1 to 10","SkinSubclinical",0.701900525470418
"224","Fo","Hair_chemical_treatment_Yes","1",83,"0","Hair_chemical_treatment_Yes1",0.321123959673931,0.412992625254674,"Hair_chemical_treatment","SkinBehavior","Scalp","Character","Hair chemical treatment","SkinBehavior",0.709430956920845
"225","Fo","Age","NotApplicable",999,"NotApplicable","Age",0.0142292303704006,0.41819087986913,"Age","Demographic","Demographics","Numeric","Age","Demographic",0.709430956920845
"226","Ps","Routine_cosmetic_use_on_face_Yes","1",40,"0","Routine_cosmetic_use_on_face_Yes1",0.360002734034343,0.388684869183312,"Routine_cosmetic_use_on_face","SkinBehavior","Face","Character","Routine cosmetic use on face","SkinBehavior",0.71009735716182
"227","Ps","Routinely_use_underarm_deodorant_Yes","1",50,"0","Routinely_use_underarm_deodorant_Yes1",-0.361790044606385,0.404808715913927,"Routinely_use_underarm_deodorant","SkinBehavior","Underarm","Character","Routinely use underarm deodorant","SkinBehavior",0.712163481700427
"228","Ps","TEWL_cheek","NotApplicable",999,"NotApplicable","TEWL_cheek",-0.0502650510747369,0.399715527619222,"TEWL_cheek","SkinPhysio","Cheek","Numeric","TEWL cheek","SkinPhysio",0.712163481700427
"229","Ps","Routinely_wax_underarms_last_time_Yesterday","1",10,"0","Routinely_wax_underarms_last_time_Yesterday1",-0.850150912391258,0.426548528989449,"Routinely_wax_underarms_last_time","SkinBehavior","Underarm","Character","Routinely wax underarms last time (Yesterday)","SkinBehavior",0.713693900036898
"230","Ps","Itchy_scalp_Yes","1",10,"0","Itchy_scalp_Yes1",0.565664747815894,0.428216340022139,"Itchy_scalp","SkinItch","Scalp","Character","Itchy scalp","SkinSubclinical",0.713693900036898
"231","Ps","Routinely_use_underarm_antiperspirant_Yes","1",27,"0","Routinely_use_underarm_antiperspirant_Yes1",0.388144247168472,0.418679419128999,"Routinely_use_underarm_antiperspirant","SkinBehavior","Underarm","Character","Routinely use underarm antiperspirant","SkinBehavior",0.713693900036898
"232","Ll","Hair_chemical_treatment_last_time_<_1_week_ago","``1",11,"0","`Hair_chemical_treatment_last_time_<_1_week_ago`1",1.08663609649124,0.128848257856798,"Hair_chemical_treatment_last_time","SkinBehavior","Scalp","Character","Hair chemical treatment last time (< 1 week ago)","SkinBehavior",0.714813055511037
"233","Ll","Routinely_shave_underarms_last_time_Today","1",23,"0","Routinely_shave_underarms_last_time_Today1",0.824483179940052,0.141571159137209,"Routinely_shave_underarms_last_time","SkinBehavior","Underarm","Character","Routinely shave underarms last time (Today)","SkinBehavior",0.714813055511037
"234","Ll","Current_or_past_acne_severity_Mild","1",77,"0","Current_or_past_acne_severity_Mild1",-0.726563177479284,0.142962611102207,"Current_or_past_acne_severity","SkinCondition","General","Character","Current or past acne severity (Mild)","SkinDisease",0.714813055511037
"235","Ch","Currently_have_acne_Yes","1",17,"0","Currently_have_acne_Yes1",-0.586644460019614,0.449620165832533,"Currently_have_acne","SkinCondition","General","Character","Currently have acne","SkinDisease",0.723144718408692
"236","Ch","Itchy_scalp_Yes","1",11,"0","Itchy_scalp_Yes1",0.523248143767122,0.456722980047595,"Itchy_scalp","SkinItch","Scalp","Character","Itchy scalp","SkinSubclinical",0.723144718408692
"237","Ch","Sensitive_legs_Yes","1",20,"0","Sensitive_legs_Yes1",0.419258430243469,0.447583725080759,"Sensitive_legs","SkinSensitivity","Legs","Character","Sensitive legs","SkinSubclinical",0.723144718408692
"238","Ch","Routine_cosmetic_use_on_face_Yes","1",39,"0","Routine_cosmetic_use_on_face_Yes1",0.339020008702043,0.434024170801498,"Routine_cosmetic_use_on_face","SkinBehavior","Face","Character","Routine cosmetic use on face","SkinBehavior",0.723144718408692
"239","Ch","Ethnicity_East_Asian","1",118,"0","Ethnicity_East_Asian1",-0.279313822782007,0.446970064274424,"Ethnicity","Demographic","Demographics","Character","Ethnicity (East Asian)","Demographic",0.723144718408692
"240","Ch","Irritation_heat_1_to_10","NotApplicable",999,"NotApplicable","Irritation_heat_1_to_10",0.1302868872638,0.469740123495197,"Irritation_heat_1_to_10","SkinIrritation","General","Numeric","Irritation heat 1 to 10","SkinSubclinical",0.731562487410552
"241","Ps","Ever_had_acne_Yes","1",95,"0","Ever_had_acne_Yes1",-0.264540543891406,0.458720751581474,"Ever_had_acne","SkinCondition","General","Character","Ever had acne","SkinDisease",0.738618159326102
"242","Ps","Age","NotApplicable",999,"NotApplicable","Age",0.0117738046197094,0.457033281350306,"Age","Demographic","Demographics","Numeric","Age","Demographic",0.738618159326102
"243","Fo","Sensitive_other_site_Yes","1",13,"0","Sensitive_other_site_Yes1",0.526417718527858,0.44516233856371,"Sensitive_other_site","SkinSensitivity","Other_site","Character","Sensitive other site","SkinSubclinical",0.741937230939517
"244","Ub","Routinely_use_underarm_deodorant_Yes","1",50,"0","Routinely_use_underarm_deodorant_Yes1",-0.43834234717489,0.366872685475316,"Routinely_use_underarm_deodorant","SkinBehavior","Underarm","Character","Routinely use underarm deodorant","SkinBehavior",0.753658058896351
"245","Ub","Hair_chemical_treatment_location_Non-professional","``1",44,"0","`Hair_chemical_treatment_location_Non-professional`1",0.389184222504375,0.372862408085563,"Hair_chemical_treatment_location","SkinBehavior","Scalp","Character","Hair chemical treatment location (Non-professional)","SkinBehavior",0.753658058896351
"246","Ac","Body_odor_overall_Yes","1",43,"0","Body_odor_overall_Yes1",-2.09673303801117,0.0428111003636609,"Body_odor_overall","BodyOdour","General","Character","Body odor overall","SkinSubclinical",0.757911020120664
"247","Ac","Body_odor_total_areas","NotApplicable",999,"NotApplicable","Body_odor_total_areas",-1.84920926527083,0.0587033378684808,"Body_odor_total_areas","BodyOdour","General","Numeric","Body odor total areas","SkinSubclinical",0.757911020120664
"248","Ac","Currently_have_fungal_FeetBodyGroin_Yes","1",12,"0","Currently_have_fungal_FeetBodyGroin_Yes1",1.30956056667008,0.0449597534531855,"Currently_have_fungal_FeetBodyGroin","SkinCondition","General","Character","Currently have fungal FeetBodyGroin","SkinDisease",0.757911020120664
"249","Ac","Hair_wash_last_time_>_2_days_ago","``1",20,"0","`Hair_wash_last_time_>_2_days_ago`1",1.21321567044819,0.0253681685839371,"Hair_wash_last_time","SkinBehavior","Scalp","Character","Hair wash last time (> 2 days ago)","SkinBehavior",0.757911020120664
"250","Ac","Hair_wash_last_time_This_morning","1",71,"0","Hair_wash_last_time_This_morning1",-0.970778917151406,0.0628318255771365,"Hair_wash_last_time","SkinBehavior","Scalp","Character","Hair wash last time (This morning)","SkinBehavior",0.757911020120664
"251","Ac","Itchy_legs_Yes","1",24,"0","Itchy_legs_Yes1",0.936093358665201,0.0762299548140326,"Itchy_legs","SkinItch","Legs","Character","Itchy legs","SkinSubclinical",0.757911020120664
"252","Ac","Creases_affected_by_itchy_skin_Yes","1",25,"0","Creases_affected_by_itchy_skin_Yes1",0.875468736926854,0.0955536618850654,"Creases_affected_by_itchy_skin","SkinItch","General","Character","Creases affected by itchy skin","SkinSubclinical",0.757911020120664
"253","Ac","Itchy_arms_Yes","1",26,"0","Itchy_arms_Yes1",0.817574758575038,0.117833790858356,"Itchy_arms","SkinItch","Arms","Character","Itchy arms","SkinSubclinical",0.757911020120664
"254","Ac","Hair_length_>_5cm","``1",124,"0","`Hair_length_>_5cm`1",0.76427452457542,0.119670161071684,"Hair_length","SkinBehavior","Scalp","Character","Hair length (> 5cm)","SkinBehavior",0.757911020120664
"255","Ac","Ever_have_had_itchy_skin_Yes","1",91,"0","Ever_have_had_itchy_skin_Yes1",0.716863654329599,0.0966700619172021,"Ever_have_had_itchy_skin","SkinItch","General","Character","Ever have had itchy skin","SkinSubclinical",0.757911020120664
"256","Ac","Irritation_pain_1_to_10","NotApplicable",999,"NotApplicable","Irritation_pain_1_to_10",0.38730601988025,0.107672134210362,"Irritation_pain_1_to_10","SkinIrritation","General","Numeric","Irritation pain 1 to 10","SkinSubclinical",0.757911020120664
"257","Ac","Irritation_tauntness_1_to_10","NotApplicable",999,"NotApplicable","Irritation_tauntness_1_to_10",0.359847839578896,0.0194042610864062,"Irritation_tauntness_1_to_10","SkinIrritation","General","Numeric","Irritation tauntness 1 to 10","SkinSubclinical",0.757911020120664
"258","Ac","Itchy_total_areas","NotApplicable",999,"NotApplicable","Itchy_total_areas",0.285470415291976,0.110552843411396,"Itchy_total_areas","SkinItch","General","Numeric","Itchy total areas","SkinSubclinical",0.757911020120664
"259","Ac","Itchy_skin_in_the_last_week_affecting_sleep_1_to_10","NotApplicable",999,"NotApplicable","Itchy_skin_in_the_last_week_affecting_sleep_1_to_10",0.196289010865052,0.0823121352129974,"Itchy_skin_in_the_last_week_affecting_sleep_1_to_10","SkinItch","General","Numeric","Itchy skin in the last week affecting sleep 1 to 10","SkinSubclinical",0.757911020120664
"260","Ac","Sebum_cheek","NotApplicable",999,"NotApplicable","Sebum_cheek",-0.043497237226494,0.062207821446465,"Sebum_cheek","SkinPhysio","Cheek","Numeric","Sebum cheek","SkinPhysio",0.757911020120664
"261","Ub","Currently_have_fungal_FeetBodyGroin_Yes","1",12,"0","Currently_have_fungal_FeetBodyGroin_Yes1",0.59668691437535,0.391684318616913,"Currently_have_fungal_FeetBodyGroin","SkinCondition","General","Character","Currently have fungal FeetBodyGroin","SkinDisease",0.759387964665448
"262","Ub","Antibiotic_use_in_the_last_month_Yes","1",12,"0","Antibiotic_use_in_the_last_month_Yes1",0.596686914375347,0.391684318616915,"Antibiotic_use_in_the_last_month","SkinTreatment","General","Character","Antibiotic use in the last month","SkinDisease",0.759387964665448
"263","Fo","Sensitive_trunk_Yes","1",20,"0","Sensitive_trunk_Yes1",-0.553885096247663,0.473319070398917,"Sensitive_trunk","SkinSensitivity","Trunk","Character","Sensitive trunk","SkinSubclinical",0.762123926913513
"264","Fo","Hair_wash_last_time_>_2_days_ago","``1",20,"0","`Hair_wash_last_time_>_2_days_ago`1",-0.55388509624766,0.473319070398919,"Hair_wash_last_time","SkinBehavior","Scalp","Character","Hair wash last time (> 2 days ago)","SkinBehavior",0.762123926913513
"265","Ub","Itchy_trunk_Yes","1",20,"0","Itchy_trunk_Yes1",-0.594475636074134,0.44109030078579,"Itchy_trunk","SkinItch","Trunk","Character","Itchy trunk","SkinSubclinical",0.763909955207698
"266","Ub","Routinely_shave_underarms_last_time_Today","1",23,"0","Routinely_shave_underarms_last_time_Today1",0.427175594480124,0.434908956833295,"Routinely_shave_underarms_last_time","SkinBehavior","Underarm","Character","Routinely shave underarms last time (Today)","SkinBehavior",0.763909955207698
"267","Ub","Routine_cosmetic_use_on_face_Yes","1",40,"0","Routine_cosmetic_use_on_face_Yes1",0.340926586970796,0.451818639098121,"Routine_cosmetic_use_on_face","SkinBehavior","Face","Character","Routine cosmetic use on face","SkinBehavior",0.763909955207698
"268","Ub","Age_when_itchy_skin_began_Over_10_years_old","1",81,"0","Age_when_itchy_skin_began_Over_10_years_old1",-0.320411428469899,0.427589275816501,"Age_when_itchy_skin_began","SkinItch","General","Character","Age when itchy skin began (Over 10 years old)","SkinSubclinical",0.763909955207698
"269","Ub","Routinely_shave_underarms_Yes","1",63,"0","Routinely_shave_underarms_Yes1",0.310938934616084,0.439178695937535,"Routinely_shave_underarms","SkinBehavior","Underarm","Character","Routinely shave underarms","SkinBehavior",0.763909955207698
"270","Ub","Sensitive_skin_overall_Yes","1",69,"0","Sensitive_skin_overall_Yes1",0.304688888872299,0.441069896204512,"Sensitive_skin_overall","SkinSensitivity","General","Character","Sensitive skin overall","SkinSubclinical",0.763909955207698
"271","Ub","Itchy_skin_in_the_last_week_severity_1_to_10","NotApplicable",999,"NotApplicable","Itchy_skin_in_the_last_week_severity_1_to_10",-0.0702085170623633,0.458345973124619,"Itchy_skin_in_the_last_week_severity_1_to_10","SkinItch","General","Numeric","Itchy skin in the last week severity 1 to 10","SkinSubclinical",0.763909955207698
"272","Ub","Irritation_itching_1_to_10","NotApplicable",999,"NotApplicable","Irritation_itching_1_to_10",0.0664732874783808,0.453847599535045,"Irritation_itching_1_to_10","SkinIrritation","General","Numeric","Irritation itching 1 to 10","SkinSubclinical",0.763909955207698
"273","Ch","Ethnicity_South_Asian","1",40,"0","Ethnicity_South_Asian1",-0.324401173414779,0.504470910892739,"Ethnicity","Demographic","Demographics","Character","Ethnicity (South Asian)","Demographic",0.772979621529196
"274","Ps","Sensitive_scalp_Yes","1",15,"0","Sensitive_scalp_Yes1",0.402092423632237,0.511678317662755,"Sensitive_scalp","SkinSensitivity","Scalp","Character","Sensitive scalp","SkinSubclinical",0.790778787623512
"275","Ps","Itchy_legs_Yes","1",24,"0","Itchy_legs_Yes1",0.323787077096775,0.52441119600296,"Itchy_legs","SkinItch","Legs","Character","Itchy legs","SkinSubclinical",0.790778787623512
"276","Ps","Routinely_shave_bikine_line_Yes","1",47,"0","Routinely_shave_bikine_line_Yes1",0.259264859730416,0.518573483417079,"Routinely_shave_bikine_line","SkinBehavior","Pubic","Character","Routinely shave bikine line","SkinBehavior",0.790778787623512
"277","Ps","Surface_hydration_forearm","NotApplicable",999,"NotApplicable","Surface_hydration_forearm",-0.0085380674111631,0.506117822829695,"Surface_hydration_forearm","SkinPhysio","Forearm","Numeric","Surface hydration forearm","SkinPhysio",0.790778787623512
"278","Ps","Sensitive_trunk_Yes","1",20,"0","Sensitive_trunk_Yes1",-0.389691910431512,0.550574341725826,"Sensitive_trunk","SkinSensitivity","Trunk","Character","Sensitive trunk","SkinSubclinical",0.804685576368516
"279","Ps","Hair_wash_last_time_>_2_days_ago","``1",20,"0","`Hair_wash_last_time_>_2_days_ago`1",-0.389691910431511,0.550574341725827,"Hair_wash_last_time","SkinBehavior","Scalp","Character","Hair wash last time (> 2 days ago)","SkinBehavior",0.804685576368516
"280","Ps","Hair_chemical_treatment_location_Non-professional","``1",43,"0","`Hair_chemical_treatment_location_Non-professional`1",0.241162056818985,0.560420477114689,"Hair_chemical_treatment_location","SkinBehavior","Scalp","Character","Hair chemical treatment location (Non-professional)","SkinBehavior",0.806665838271143
"281","Fo","Healthy_scalp_Yes","1",126,"0","Healthy_scalp_Yes1",-0.26236426446744,0.50976376579902,"Healthy_scalp","SkinHealth","Scalp","Character","Healthy scalp","SkinSubclinical",0.807125962515114
"282","Ub","Topical_antimicrobial_use_in_the_last_month_Yes","1",24,"0","Topical_antimicrobial_use_in_the_last_month_Yes1",0.366374341027969,0.500994174644734,"Topical_antimicrobial_use_in_the_last_month","SkinTreatment","General","Character","Topical antimicrobial use in the last month","SkinDisease",0.820593906745684
"283","Ps","Body_wash_last_time_This_morning","1",127,"0","Body_wash_last_time_This_morning1",0.203254766461165,0.588186558235142,"Body_wash_last_time","SkinBehavior","Body","Character","Body wash last time (This morning)","SkinBehavior",0.821731221063803
"284","Ps","Body_wash_last_time_Yesterday_evening","1",72,"0","Body_wash_last_time_Yesterday_evening1",-0.203254766461165,0.588186558235143,"Body_wash_last_time","SkinBehavior","Body","Character","Body wash last time (Yesterday evening)","SkinBehavior",0.821731221063803
"285","Ch","Routinely_shave_underarms_last_time_Yesterday","1",31,"0","Routinely_shave_underarms_last_time_Yesterday1",0.286639862875003,0.545790259389159,"Routinely_shave_underarms_last_time","SkinBehavior","Underarm","Character","Routinely shave underarms last time (Yesterday)","SkinBehavior",0.823017057809049
"286","Ps","Current_skin_condition_severity_Moderate","1",16,"0","Current_skin_condition_severity_Moderate1",0.308301359657357,0.611257233777124,"Current_skin_condition_severity","SkinCondition","General","Character","Current skin condition severity (Moderate)","SkinDisease",0.829931885223839
"287","Ps","Routinely_shave_underarms_Yes","1",63,"0","Routinely_shave_underarms_Yes1",0.189620859276918,0.611528757533355,"Routinely_shave_underarms","SkinBehavior","Underarm","Character","Routinely shave underarms","SkinBehavior",0.829931885223839
"288","Ps","Face_wash_last_time_This_morning","1",180,"0","Face_wash_last_time_This_morning1",0.322049715956373,0.623281473536128,"Face_wash_last_time","SkinBehavior","Face","Character","Face wash last time (This morning)","SkinBehavior",0.832737616272725
"289","Ps","Currently_have_a_skin_condition_Yes","1",35,"0","Currently_have_a_skin_condition_Yes1",-0.234362434919467,0.631127456543539,"Currently_have_a_skin_condition","SkinCondition","General","Character","Currently have a skin condition","SkinDisease",0.832737616272725
"290","Ac","Gender_Female","1",102,"0","Gender_Female1",0.647684757594195,0.140702385985478,"Gender","Demographic","Demographics","Character","Gender (Female)","Demographic",0.835420416788777
"291","Fo","Routinely_wax_underarms_last_time_Yesterday","1",10,"0","Routinely_wax_underarms_last_time_Yesterday1",-0.529517739799366,0.621546553251374,"Routinely_wax_underarms_last_time","SkinBehavior","Underarm","Character","Routinely wax underarms last time (Yesterday)","SkinBehavior",0.836004957473665
"292","Fo","Face_wash_last_time_Yesterday_evening","1",17,"0","Face_wash_last_time_Yesterday_evening1",-0.351760928832502,0.651812852895531,"Face_wash_last_time","SkinBehavior","Face","Character","Face wash last time (Yesterday evening)","SkinBehavior",0.836004957473665
"293","Fo","Current_or_past_acne_severity_Severe","1",15,"0","Current_or_past_acne_severity_Severe1",0.331357135954648,0.624698169088705,"Current_or_past_acne_severity","SkinCondition","General","Character","Current or past acne severity (Severe)","SkinDisease",0.836004957473665
"294","Fo","Ethnicity_South_Asian","1",40,"0","Ethnicity_South_Asian1",-0.313657558814205,0.549431987473223,"Ethnicity","Demographic","Demographics","Character","Ethnicity (South Asian)","Demographic",0.836004957473665
"295","Fo","Swimming_regularly_Yes","1",24,"0","Swimming_regularly_Yes1",-0.287682072410944,0.658429512231952,"Swimming_regularly","SkinBehavior","General","Character","Swimming regularly","SkinBehavior",0.836004957473665
"296","Fo","Current_skin_condition_severity_Mild","1",16,"0","Current_skin_condition_severity_Mild1",-0.276253376587319,0.724079196763769,"Current_skin_condition_severity","SkinCondition","General","Character","Current skin condition severity (Mild)","SkinDisease",0.836004957473665
"297","Fo","Routinely_shave_underarms_last_time_Yesterday","1",32,"0","Routinely_shave_underarms_last_time_Yesterday1",0.270614163939655,0.589959909885207,"Routinely_shave_underarms_last_time","SkinBehavior","Underarm","Character","Routinely shave underarms last time (Yesterday)","SkinBehavior",0.836004957473665
"298","Fo","Hair_chemical_treatment_location_Non-professional","``1",44,"0","`Hair_chemical_treatment_location_Non-professional`1",0.243230309880951,0.590064111153404,"Hair_chemical_treatment_location","SkinBehavior","Scalp","Character","Hair chemical treatment location (Non-professional)","SkinBehavior",0.836004957473665
"299","Fo","Ethnicity_East_Asian","1",119,"0","Ethnicity_East_Asian1",-0.241162056816833,0.540443414765524,"Ethnicity","Demographic","Demographics","Character","Ethnicity (East Asian)","Demographic",0.836004957473665
"300","Fo","Hair_length_>_5cm","``1",126,"0","`Hair_length_>_5cm`1",0.231111720962674,0.578469540540641,"Hair_length","SkinBehavior","Scalp","Character","Hair length (> 5cm)","SkinBehavior",0.836004957473665
"301","Fo","Hair_length_<_5cm","``1",66,"0","`Hair_length_<_5cm`1",-0.2273389425434,0.595237982264321,"Hair_length","SkinBehavior","Scalp","Character","Hair length (< 5cm)","SkinBehavior",0.836004957473665
"302","Fo","Hair_chemical_treatment_location_Professional","1",39,"0","Hair_chemical_treatment_location_Professional1",0.214775301643694,0.649337455527689,"Hair_chemical_treatment_location","SkinBehavior","Scalp","Character","Hair chemical treatment location (Professional)","SkinBehavior",0.836004957473665
"303","Fo","Hair_wash_last_time_This_morning","1",72,"0","Hair_wash_last_time_This_morning1",-0.205632635662074,0.621214780180457,"Hair_wash_last_time","SkinBehavior","Scalp","Character","Hair wash last time (This morning)","SkinBehavior",0.836004957473665
"304","Fo","Routinely_use_underarm_antiperspirant_Yes","1",28,"0","Routinely_use_underarm_antiperspirant_Yes1",0.192580900904046,0.720093821358464,"Routinely_use_underarm_antiperspirant","SkinBehavior","Underarm","Character","Routinely use underarm antiperspirant","SkinBehavior",0.836004957473665
"305","Fo","Currently_have_skin_conditions_not_described_above_Yes","1",171,"0","Currently_have_skin_conditions_not_described_above_Yes1",-0.192580900904041,0.720093821358471,"Currently_have_skin_conditions_not_described_above","SkinCondition","General","Character","Currently have skin conditions not described above","SkinDisease",0.836004957473665
"306","Fo","Routine_cosmetic_use_on_face_Yes","1",40,"0","Routine_cosmetic_use_on_face_Yes1",0.17662353567932,0.707909650379012,"Routine_cosmetic_use_on_face","SkinBehavior","Face","Character","Routine cosmetic use on face","SkinBehavior",0.836004957473665
"307","Fo","Current_or_past_acne_severity_Mild","1",77,"0","Current_or_past_acne_severity_Mild1",-0.162518929497723,0.689856418397678,"Current_or_past_acne_severity","SkinCondition","General","Character","Current or past acne severity (Mild)","SkinDisease",0.836004957473665
"308","Fo","Ever_had_acne_Yes","1",96,"0","Ever_had_acne_Yes1",0.159848700941884,0.682818007403908,"Ever_had_acne","SkinCondition","General","Character","Ever had acne","SkinDisease",0.836004957473665
"309","Fo","Body_wash_last_time_Yesterday_evening","1",71,"0","Body_wash_last_time_Yesterday_evening1",0.154278108944982,0.70156959737559,"Body_wash_last_time","SkinBehavior","Body","Character","Body wash last time (Yesterday evening)","SkinBehavior",0.836004957473665
"310","Fo","Body_wash_last_time_This_morning","1",128,"0","Body_wash_last_time_This_morning1",-0.154278108944981,0.70156959737559,"Body_wash_last_time","SkinBehavior","Body","Character","Body wash last time (This morning)","SkinBehavior",0.836004957473665
"311","Fo","Hair_wash_last_time_Yesterday_evening","1",90,"0","Hair_wash_last_time_Yesterday_evening1",0.150572858479368,0.700511892659541,"Hair_wash_last_time","SkinBehavior","Scalp","Character","Hair wash last time (Yesterday evening)","SkinBehavior",0.836004957473665
"312","Fo","PH_forearm","NotApplicable",999,"NotApplicable","PH_forearm",-0.13808923269486,0.730404331266465,"PH_forearm","SkinPhysio","Forearm","Numeric","PH forearm","SkinPhysio",0.836004957473665
"313","Fo","Irritation_hot_flashes_1_to_10","NotApplicable",999,"NotApplicable","Irritation_hot_flashes_1_to_10",0.0922829602019827,0.64579068919115,"Irritation_hot_flashes_1_to_10","SkinIrritation","General","Numeric","Irritation hot flashes 1 to 10","SkinSubclinical",0.836004957473665
"314","Fo","Body_odor_overall_Yes","1",43,"0","Body_odor_overall_Yes1",-0.16283694508297,0.740286263076011,"Body_odor_overall","BodyOdour","General","Character","Body odor overall","SkinSubclinical",0.837228511812155
"315","Ps","Age_when_itchy_skin_began_Over_10_years_old","1",81,"0","Age_when_itchy_skin_began_Over_10_years_old1",-0.167880872639853,0.644740469715506,"Age_when_itchy_skin_began","SkinItch","General","Character","Age when itchy skin began (Over 10 years old)","SkinSubclinical",0.839045816753056
"316","Fo","Body_odor_total_areas","NotApplicable",999,"NotApplicable","Body_odor_total_areas",0.0936231341085261,0.759026516688852,"Body_odor_total_areas","BodyOdour","General","Numeric","Body odor total areas","SkinSubclinical",0.848323753946364
"317","Ub","Hair_wash_last_time_This_morning","1",72,"0","Hair_wash_last_time_This_morning1",-0.261631395251512,0.527064917952164,"Hair_wash_last_time","SkinBehavior","Scalp","Character","Hair wash last time (This morning)","SkinBehavior",0.848663850939924
"318","Ll","Hair_wash_last_time_Yesterday_evening","1",90,"0","Hair_wash_last_time_Yesterday_evening1",0.590706375005452,0.180764273731292,"Hair_wash_last_time","SkinBehavior","Scalp","Character","Hair wash last time (Yesterday evening)","SkinBehavior",0.858630300223638
"319","Ch","Face_wash_last_time_Yesterday_evening","1",17,"0","Face_wash_last_time_Yesterday_evening1",0.32204971595832,0.593476349646964,"Face_wash_last_time","SkinBehavior","Face","Character","Face wash last time (Yesterday evening)","SkinBehavior",0.867388511022487
"320","Ch","Hair_wash_last_time_Yesterday_morning","1",17,"0","Hair_wash_last_time_Yesterday_morning1",0.322049715958319,0.593476349646965,"Hair_wash_last_time","SkinBehavior","Scalp","Character","Hair wash last time (Yesterday morning)","SkinBehavior",0.867388511022487
"321","Ub","Routinely_wax_underarms_Yes","1",14,"0","Routinely_wax_underarms_Yes1",0.383277193133655,0.574127355489573,"Routinely_wax_underarms","SkinBehavior","Underarm","Character","Routinely wax underarms","SkinBehavior",0.867622031744203
"322","Ub","Creases_affected_by_itchy_skin_Yes","1",25,"0","Creases_affected_by_itchy_skin_Yes1",0.308301359654713,0.569526839262386,"Creases_affected_by_itchy_skin","SkinItch","General","Character","Creases affected by itchy skin","SkinSubclinical",0.867622031744203
"323","Ub","Itchy_skin_in_the_last_week_Yes","1",45,"0","Itchy_skin_in_the_last_week_Yes1",-0.27786845100064,0.569437278684616,"Itchy_skin_in_the_last_week","SkinItch","General","Character","Itchy skin in the last week","SkinSubclinical",0.867622031744203
"324","Ub","Current_or_past_acne_severity_Mild","1",77,"0","Current_or_past_acne_severity_Mild1",-0.221161390110163,0.584503263490831,"Current_or_past_acne_severity","SkinCondition","General","Character","Current or past acne severity (Mild)","SkinDisease",0.867622031744203
