"Taxa","Taxa_category","Predictor","Category","Count","ReferenceGroup","Term","EffectSize","p_Value","New_column_names","Column_Category","Column_Subcategory","Data_type","Formatted_Predictor","Column_Category_2","PValue"
"s__Gordonia_otitidis","Bacteria","Irritation_itching_1_to_10","NotApplicable",999,"NotApplicable","Irritation_itching_1_to_10",0.297665369649805,0.156833947503251,"Irritation_itching_1_to_10","SkinIrritation","General","Numeric","Irritation itching 1 to 10","SkinDiscomfort",0.8117833814828
"s__Gordonia_otitidis","Bacteria","Irritation_general_1_to_10","NotApplicable",999,"NotApplicable","Irritation_general_1_to_10",-0.26691932864104,0.331784072152416,"Irritation_general_1_to_10","SkinIrritation","General","Numeric","Irritation general 1 to 10","SkinDiscomfort",0.8117833814828
"s__Gordonia_otitidis","Bacteria","Irritation_tauntness_1_to_10","NotApplicable",999,"NotApplicable","Irritation_tauntness_1_to_10",-0.241785188818048,0.356145367931164,"Irritation_tauntness_1_to_10","SkinIrritation","General","Numeric","Irritation tauntness 1 to 10","SkinDiscomfort",0.8117833814828
"s__Gordonia_otitidis","Bacteria","Itchy_skin_in_the_last_week_affecting_sleep_1_to_10","NotApplicable",999,"NotApplicable","Itchy_skin_in_the_last_week_affecting_sleep_1_to_10",-0.237983587338804,0.307875535471768,"Itchy_skin_in_the_last_week_affecting_sleep_1_to_10","SkinItch","General","Numeric","Itchy skin in the last week affecting sleep 1 to 10","SkinDiscomfort",0.8117833814828
"s__Gordonia_otitidis","Bacteria","Age","NotApplicable",999,"NotApplicable","Age",0.0503016789087093,0.292314222854415,"Age","Demographics","Demographics","Numeric","Age","Demographics",0.8117833814828
"s__Gordonia_otitidis","Bacteria","Sebum_cheek","NotApplicable",999,"NotApplicable","Sebum_cheek",-0.0288943690916564,0.350692287065275,"Sebum_cheek","SkinPhysio","Cheek","Numeric","Sebum cheek","SkinPhysio",0.8117833814828
"s__Gordonia_otitidis","Bacteria","Surface_hydration_forearm","NotApplicable",999,"NotApplicable","Surface_hydration_forearm",-0.0279203839458818,0.294091029483526,"Surface_hydration_forearm","SkinPhysio","Forearm","Numeric","Surface hydration forearm","SkinPhysio",0.8117833814828
"s__Cutibacterium_phage_P14_4","Bacteriophage","Irritation_hot_flashes_1_to_10","NotApplicable",999,"NotApplicable","Irritation_hot_flashes_1_to_10",-0.219387755102041,0.656409176992665,"Irritation_hot_flashes_1_to_10","SkinIrritation","General","Numeric","Irritation hot flashes 1 to 10","SkinDiscomfort",0.811874508385665
"s__Cutibacterium_phage_P14_4","Bacteriophage","Hair_chemical_treatment_location_Professional","1",6,"0","Hair_chemical_treatment_location_Professional1",-0.214285714285714,0.652858650675955,"Hair_chemical_treatment_location","SkinBehavior","Scalp","Character","Hair chemical treatment location (Professional)","SkinBehavior",0.811874508385665
"s__Cutibacterium_phage_P14_4","Bacteriophage","TEWL_cheek","NotApplicable",999,"NotApplicable","TEWL_cheek",-0.0243155922600942,0.665621803830384,"TEWL_cheek","SkinPhysio","Cheek","Numeric","TEWL cheek","SkinPhysio",0.812577267013715
"s__Malassezia_slooffiae","Fungi","Itchy_legs_Yes","1",6,"0","Itchy_legs_Yes1",-1.20512820512821,0.217392475772587,"Itchy_legs","SkinItch","Legs","Character","Itchy legs","SkinDiscomfort",0.812858822454021
"s__Gordonia_otitidis","Bacteria","Face_wash_last_time_This_morning","1",22,"0","Face_wash_last_time_This_morning1",1.31818181818182,0.461520408367938,"Face_wash_last_time","SkinBehavior","Face","Character","Face wash last time (This morning)","SkinBehavior",0.813123783530728
"s__Gordonia_otitidis","Bacteria","Ethnicity_South_East_Asian","1",3,"0","Ethnicity_South_East_Asian1",-1,0.504342599911464,"Ethnicity","Demographics","Demographics","Character","Ethnicity (South East Asian)","Demographics",0.813123783530728
"s__Gordonia_otitidis","Bacteria","Hair_covering_frequency_Daily","1",3,"0","Hair_covering_frequency_Daily1",-1,0.504342599911464,"Hair_covering_frequency","SkinBehavior","Scalp","Character","Hair covering frequency (Daily)","SkinBehavior",0.813123783530728
"s__Gordonia_otitidis","Bacteria","Routinely_use_underarm_antiperspirant_Yes","1",4,"0","Routinely_use_underarm_antiperspirant_Yes1",0.95,0.474417285426166,"Routinely_use_underarm_antiperspirant","SkinBehavior","Underarm","Character","Routinely use underarm antiperspirant","SkinBehavior",0.813123783530728
"s__Gordonia_otitidis","Bacteria","Irritation_pain_1_to_10","NotApplicable",999,"NotApplicable","Irritation_pain_1_to_10",-0.783783783783784,0.487101675667597,"Irritation_pain_1_to_10","SkinIrritation","General","Numeric","Irritation pain 1 to 10","SkinDiscomfort",0.813123783530728
"s__Gordonia_otitidis","Bacteria","Itchy_skin_overall_Yes","1",9,"0","Itchy_skin_overall_Yes1",0.733333333333333,0.473180977892603,"Itchy_skin_overall","SkinItch","General","Character","Itchy skin overall","SkinDiscomfort",0.813123783530728
"s__Gordonia_otitidis","Bacteria","Body_wash_last_time_This_morning","1",14,"0","Body_wash_last_time_This_morning1",-0.671428571428572,0.503952145313073,"Body_wash_last_time","SkinBehavior","Body","Character","Body wash last time (This morning)","SkinBehavior",0.813123783530728
"s__Gordonia_otitidis","Bacteria","Body_wash_last_time_Yesterday_evening","1",10,"0","Body_wash_last_time_Yesterday_evening1",0.671428571428571,0.503952145313074,"Body_wash_last_time","SkinBehavior","Body","Character","Body wash last time (Yesterday evening)","SkinBehavior",0.813123783530728
"s__Gordonia_otitidis","Bacteria","Body_odor_total_areas","NotApplicable",999,"NotApplicable","Body_odor_total_areas",0.61860465116279,0.444730740639786,"Body_odor_total_areas","BodyOdour","General","Numeric","Body odor total areas","SkinDiscomfort",0.813123783530728
"s__Gordonia_otitidis","Bacteria","Irritation_hot_flashes_1_to_10","NotApplicable",999,"NotApplicable","Irritation_hot_flashes_1_to_10",-1.26086956521739,0.611771054282181,"Irritation_hot_flashes_1_to_10","SkinIrritation","General","Numeric","Irritation hot flashes 1 to 10","SkinDiscomfort",0.81915107268292
"s__Gordonia_otitidis","Bacteria","Hair_covering_frequency_Ocassionally","1",3,"0","Hair_covering_frequency_Ocassionally1",0.904761904761905,0.546168208131012,"Hair_covering_frequency","SkinBehavior","Scalp","Character","Hair covering frequency (Ocassionally)","SkinBehavior",0.81915107268292
"s__Gordonia_otitidis","Bacteria","Current_skin_condition_severity_Moderate","1",3,"0","Current_skin_condition_severity_Moderate1",0.904761904761905,0.546168208131012,"Current_skin_condition_severity","SkinCondition","General","Character","Current skin condition severity (Moderate)","SkinDisease",0.81915107268292
"s__Gordonia_otitidis","Bacteria","Topical_antimicrobial_use_in_the_last_month_Yes","1",6,"0","Topical_antimicrobial_use_in_the_last_month_Yes1",0.611111111111111,0.593878769145627,"Topical_antimicrobial_use_in_the_last_month","SkinTreatment","General","Character","Topical antimicrobial use in the last month","SkinDisease",0.81915107268292
"s__Gordonia_otitidis","Bacteria","Hair_chemical_treatment_location_Non-professional","``1",6,"0","`Hair_chemical_treatment_location_Non-professional`1",0.611111111111111,0.593878769145627,"Hair_chemical_treatment_location","SkinBehavior","Scalp","Character","Hair chemical treatment location (Non-professional)","SkinBehavior",0.81915107268292
"s__Gordonia_otitidis","Bacteria","Ever_had_acne_Yes","1",12,"0","Ever_had_acne_Yes1",-0.583333333333333,0.556432832677115,"Ever_had_acne","SkinCondition","General","Character","Ever had acne","SkinDisease",0.81915107268292
"s__Gordonia_otitidis","Bacteria","Itchy_skin_in_the_last_week_Yes","1",9,"0","Itchy_skin_in_the_last_week_Yes1",0.555555555555555,0.587801055740018,"Itchy_skin_in_the_last_week","SkinItch","General","Character","Itchy skin in the last week","SkinDiscomfort",0.81915107268292
"s__Gordonia_otitidis","Bacteria","Routinely_use_moisturizers_Yes","1",13,"0","Routinely_use_moisturizers_Yes1",0.552447552447553,0.579015035585883,"Routinely_use_moisturizers","SkinBehavior","General","Character","Routinely use moisturizers","SkinBehavior",0.81915107268292
"s__Gordonia_otitidis","Bacteria","Hair_chemical_treatment_Yes","1",14,"0","Hair_chemical_treatment_Yes1",0.528571428571428,0.599547886557355,"Hair_chemical_treatment","SkinBehavior","Scalp","Character","Hair chemical treatment","SkinBehavior",0.81915107268292
"s__Gordonia_otitidis","Bacteria","TEWL_cheek","NotApplicable",999,"NotApplicable","TEWL_cheek",-0.109797788346377,0.610317353961722,"TEWL_cheek","SkinPhysio","Cheek","Numeric","TEWL cheek","SkinPhysio",0.81915107268292
"s__Human_papillomavirus_type_134","Eukaryotic virus","Current_skin_condition_severity_Mild","1",3,"0","Current_skin_condition_severity_Mild1",1.38888888888889,0.25455913066578,"Current_skin_condition_severity","SkinCondition","General","Character","Current skin condition severity (Mild)","SkinDisease",0.819442079438269
"s__Human_papillomavirus_type_134","Eukaryotic virus","Sensitive_other_site_Yes","1",3,"0","Sensitive_other_site_Yes1",1.38888888888889,0.25455913066578,"Sensitive_other_site","SkinSensitivity","Other_site","Character","Sensitive other site","SkinDiscomfort",0.819442079438269
"s__Human_papillomavirus_type_134","Eukaryotic virus","Ethnicity_East_Asian","1",15,"0","Ethnicity_East_Asian1",1.13333333333333,0.229119219412642,"Ethnicity","Demographics","Demographics","Character","Ethnicity (East Asian)","Demographics",0.819442079438269
"s__Human_papillomavirus_type_134","Eukaryotic virus","Hair_chemical_treatment_last_time_<_1_week_ago","``1",3,"0","`Hair_chemical_treatment_last_time_<_1_week_ago`1",1,0.416025179305082,"Hair_chemical_treatment_last_time","SkinBehavior","Scalp","Character","Hair chemical treatment last time (< 1 week ago)","SkinBehavior",0.819442079438269
"s__Human_papillomavirus_type_134","Eukaryotic virus","Current_skin_condition_severity_Moderate","1",3,"0","Current_skin_condition_severity_Moderate1",-0.944444444444445,0.442844360359453,"Current_skin_condition_severity","SkinCondition","General","Character","Current skin condition severity (Moderate)","SkinDisease",0.819442079438269
"s__Human_papillomavirus_type_134","Eukaryotic virus","Itchy_other_site_Yes","1",3,"0","Itchy_other_site_Yes1",-0.944444444444445,0.442844360359453,"Itchy_other_site","SkinItch","Other_site","Character","Itchy other site","SkinDiscomfort",0.819442079438269
"s__Human_papillomavirus_type_134","Eukaryotic virus","Sensitive_trunk_Yes","1",3,"0","Sensitive_trunk_Yes1",-0.944444444444444,0.442844360359453,"Sensitive_trunk","SkinSensitivity","Trunk","Character","Sensitive trunk","SkinDiscomfort",0.819442079438269
"s__Human_papillomavirus_type_134","Eukaryotic virus","Body_odor_overall_Yes","1",6,"0","Body_odor_overall_Yes1",-0.9,0.343110646004724,"Body_odor_overall","BodyOdour","General","Character","Body odor overall","SkinDiscomfort",0.819442079438269
"s__Human_papillomavirus_type_134","Eukaryotic virus","Body_odor_underarm_Yes","1",6,"0","Body_odor_underarm_Yes1",-0.9,0.343110646004724,"Body_odor_underarm","BodyOdour","Underarm","Character","Body odor underarm","SkinDiscomfort",0.819442079438269
"s__Human_papillomavirus_type_134","Eukaryotic virus","Ever_have_had_itchy_skin_Yes","1",9,"0","Ever_have_had_itchy_skin_Yes1",-0.833333333333334,0.336080520288618,"Ever_have_had_itchy_skin","SkinItch","General","Character","Ever have had itchy skin","SkinDiscomfort",0.819442079438269
"s__Human_papillomavirus_type_134","Eukaryotic virus","Age_when_itchy_skin_began_Over_10_years_old","1",9,"0","Age_when_itchy_skin_began_Over_10_years_old1",-0.833333333333334,0.336080520288618,"Age_when_itchy_skin_began","SkinItch","General","Character","Age when itchy skin began (Over 10 years old)","SkinDiscomfort",0.819442079438269
"s__Human_papillomavirus_type_134","Eukaryotic virus","Routinely_use_moisturizers_Yes","1",12,"0","Routinely_use_moisturizers_Yes1",0.833333333333334,0.336080520288618,"Routinely_use_moisturizers","SkinBehavior","General","Character","Routinely use moisturizers","SkinBehavior",0.819442079438269
"s__Human_papillomavirus_type_134","Eukaryotic virus","Hair_wash_last_time_This_morning","1",7,"0","Hair_wash_last_time_This_morning1",-0.785714285714286,0.388775424715666,"Hair_wash_last_time","SkinBehavior","Scalp","Character","Hair wash last time (This morning)","SkinBehavior",0.819442079438269
"s__Human_papillomavirus_type_134","Eukaryotic virus","Hair_length_<_5cm","``1",10,"0","`Hair_length_<_5cm`1",0.745454545454545,0.386277230005504,"Hair_length","SkinBehavior","Scalp","Character","Hair length (< 5cm)","SkinBehavior",0.819442079438269
"s__Human_papillomavirus_type_134","Eukaryotic virus","Hair_chemical_treatment_location_Non-professional","``1",6,"0","`Hair_chemical_treatment_location_Non-professional`1",0.733333333333334,0.441723818844878,"Hair_chemical_treatment_location","SkinBehavior","Scalp","Character","Hair chemical treatment location (Non-professional)","SkinBehavior",0.819442079438269
"s__Human_papillomavirus_type_134","Eukaryotic virus","Hair_chemical_treatment_Yes","1",9,"0","Hair_chemical_treatment_Yes1",0.722222222222223,0.405945916742545,"Hair_chemical_treatment","SkinBehavior","Scalp","Character","Hair chemical treatment","SkinBehavior",0.819442079438269
"s__Human_papillomavirus_type_134","Eukaryotic virus","Gender_Male","1",12,"0","Gender_Male1",0.638888888888889,0.463162914465108,"Gender","Demographics","Demographics","Character","Gender (Male)","Demographics",0.819442079438269
"s__Human_papillomavirus_type_134","Eukaryotic virus","Gender_Female","1",9,"0","Gender_Female1",-0.638888888888888,0.463162914465108,"Gender","Demographics","Demographics","Character","Gender (Female)","Demographics",0.819442079438269
"s__Human_papillomavirus_type_134","Eukaryotic virus","Hair_length_>_5cm","``1",9,"0","`Hair_length_>_5cm`1",-0.638888888888888,0.463162914465108,"Hair_length","SkinBehavior","Scalp","Character","Hair length (> 5cm)","SkinBehavior",0.819442079438269
"s__Human_papillomavirus_type_134","Eukaryotic virus","Body_odor_total_areas","NotApplicable",999,"NotApplicable","Body_odor_total_areas",-0.458563535911602,0.332400889075432,"Body_odor_total_areas","BodyOdour","General","Numeric","Body odor total areas","SkinDiscomfort",0.819442079438269
"s__Human_papillomavirus_type_134","Eukaryotic virus","Itchy_total_areas","NotApplicable",999,"NotApplicable","Itchy_total_areas",-0.371369294605809,0.365830906156251,"Itchy_total_areas","SkinItch","General","Numeric","Itchy total areas","SkinDiscomfort",0.819442079438269
"s__Human_papillomavirus_type_134","Eukaryotic virus","Irritation_general_1_to_10","NotApplicable",999,"NotApplicable","Irritation_general_1_to_10",-0.22444011684518,0.256218458377702,"Irritation_general_1_to_10","SkinIrritation","General","Numeric","Irritation general 1 to 10","SkinDiscomfort",0.819442079438269
"s__Human_papillomavirus_type_134","Eukaryotic virus","Itchy_skin_in_the_last_week_severity_1_to_10","NotApplicable",999,"NotApplicable","Itchy_skin_in_the_last_week_severity_1_to_10",-0.146735143066765,0.396092182226326,"Itchy_skin_in_the_last_week_severity_1_to_10","SkinItch","General","Numeric","Itchy skin in the last week severity 1 to 10","SkinDiscomfort",0.819442079438269
"s__Human_papillomavirus_type_134","Eukaryotic virus","Age","NotApplicable",999,"NotApplicable","Age",0.0330973252416273,0.396959688898952,"Age","Demographics","Demographics","Numeric","Age","Demographics",0.819442079438269
"s__Human_papillomavirus_type_134","Eukaryotic virus","Surface_hydration_forearm","NotApplicable",999,"NotApplicable","Surface_hydration_forearm",0.0275629575010133,0.426295503400712,"Surface_hydration_forearm","SkinPhysio","Forearm","Numeric","Surface hydration forearm","SkinPhysio",0.819442079438269
"s__Gordonia_otitidis","Bacteria","Itchy_trunk_Yes","1",4,"0","Itchy_trunk_Yes1",0.65,0.625644034513613,"Itchy_trunk","SkinItch","Trunk","Character","Itchy trunk","SkinDiscomfort",0.823764645442924
"s__Merkel_cell_polyomavirus","Eukaryotic virus","Currently_have_a_skin_condition_Yes","1",6,"0","Currently_have_a_skin_condition_Yes1",0.615384615384618,0.618037422757041,"Currently_have_a_skin_condition","SkinCondition","General","Character","Currently have a skin condition","SkinDisease",0.827372678852168
"s__Merkel_cell_polyomavirus","Eukaryotic virus","History_of_skin_medical_treatment_Yes","1",9,"0","History_of_skin_medical_treatment_Yes1",0.541062801932366,0.613527865863562,"History_of_skin_medical_treatment","SkinTreatment","General","Character","History of skin medical treatment","SkinDisease",0.827372678852168
"s__Human_papillomavirus_type_134","Eukaryotic virus","Currently_have_skin_conditions_not_described_above_Yes","1",19,"0","Currently_have_skin_conditions_not_described_above_Yes1",0.894736842105266,0.543145121960045,"Currently_have_skin_conditions_not_described_above","SkinCondition","General","Character","Currently have skin conditions not described above","SkinDisease",0.83059808720298
"s__Human_papillomavirus_type_134","Eukaryotic virus","Routine_cosmetic_use_on_face_Yes","1",4,"0","Routine_cosmetic_use_on_face_Yes1",-0.691176470588236,0.529629898809082,"Routine_cosmetic_use_on_face","SkinBehavior","Face","Character","Routine cosmetic use on face","SkinBehavior",0.83059808720298
"s__Human_papillomavirus_type_134","Eukaryotic virus","Itchy_arms_Yes","1",3,"0","Itchy_arms_Yes1",0.611111111111111,0.621133510668738,"Itchy_arms","SkinItch","Arms","Character","Itchy arms","SkinDiscomfort",0.83059808720298
"s__Human_papillomavirus_type_134","Eukaryotic virus","Routinely_use_underarm_whitening_product_Yes","1",7,"0","Routinely_use_underarm_whitening_product_Yes1",-0.571428571428572,0.532753669428094,"Routinely_use_underarm_whitening_product","SkinBehavior","Underarm","Character","Routinely use underarm whitening product","SkinBehavior",0.83059808720298
"s__Human_papillomavirus_type_134","Eukaryotic virus","Irritation_tauntness_1_to_10","NotApplicable",999,"NotApplicable","Irritation_tauntness_1_to_10",-0.425,0.675965967841076,"Irritation_tauntness_1_to_10","SkinIrritation","General","Numeric","Irritation tauntness 1 to 10","SkinDiscomfort",0.83059808720298
"s__Human_papillomavirus_type_134","Eukaryotic virus","Irritation_hot_flashes_1_to_10","NotApplicable",999,"NotApplicable","Irritation_hot_flashes_1_to_10",-0.425,0.675965967841076,"Irritation_hot_flashes_1_to_10","SkinIrritation","General","Numeric","Irritation hot flashes 1 to 10","SkinDiscomfort",0.83059808720298
"s__Human_papillomavirus_type_134","Eukaryotic virus","Hair_wash_last_time_Yesterday_evening","1",11,"0","Hair_wash_last_time_Yesterday_evening1",0.400000000000001,0.644420462080107,"Hair_wash_last_time","SkinBehavior","Scalp","Character","Hair wash last time (Yesterday evening)","SkinBehavior",0.83059808720298
"s__Human_papillomavirus_type_134","Eukaryotic virus","Body_wash_last_time_This_morning","1",10,"0","Body_wash_last_time_This_morning1",-0.4,0.644420462080108,"Body_wash_last_time","SkinBehavior","Body","Character","Body wash last time (This morning)","SkinBehavior",0.83059808720298
"s__Human_papillomavirus_type_134","Eukaryotic virus","Body_wash_last_time_Yesterday_evening","1",11,"0","Body_wash_last_time_Yesterday_evening1",0.399999999999999,0.644420462080108,"Body_wash_last_time","SkinBehavior","Body","Character","Body wash last time (Yesterday evening)","SkinBehavior",0.83059808720298
"s__Human_papillomavirus_type_134","Eukaryotic virus","Itchy_skin_overall_Yes","1",7,"0","Itchy_skin_overall_Yes1",-0.357142857142857,0.697553209293237,"Itchy_skin_overall","SkinItch","General","Character","Itchy skin overall","SkinDiscomfort",0.83059808720298
"s__Human_papillomavirus_type_134","Eukaryotic virus","Creases_affected_by_itchy_skin_Yes","1",7,"0","Creases_affected_by_itchy_skin_Yes1",-0.357142857142857,0.697553209293237,"Creases_affected_by_itchy_skin","SkinItch","General","Character","Creases affected by itchy skin","SkinDiscomfort",0.83059808720298
"s__Human_papillomavirus_type_134","Eukaryotic virus","Sensitive_skin_overall_Yes","1",7,"0","Sensitive_skin_overall_Yes1",-0.357142857142857,0.697553209293237,"Sensitive_skin_overall","SkinSensitivity","General","Character","Sensitive skin overall","SkinDiscomfort",0.83059808720298
"s__Human_papillomavirus_type_134","Eukaryotic virus","Itchy_skin_in_the_last_week_affecting_sleep_1_to_10","NotApplicable",999,"NotApplicable","Itchy_skin_in_the_last_week_affecting_sleep_1_to_10",0.336363636363636,0.698183899388012,"Itchy_skin_in_the_last_week_affecting_sleep_1_to_10","SkinItch","General","Numeric","Itchy skin in the last week affecting sleep 1 to 10","SkinDiscomfort",0.83059808720298
"s__Human_papillomavirus_type_134","Eukaryotic virus","Irritation_tingling_1_to_10","NotApplicable",999,"NotApplicable","Irritation_tingling_1_to_10",-0.283333333333333,0.675965967841076,"Irritation_tingling_1_to_10","SkinIrritation","General","Numeric","Irritation tingling 1 to 10","SkinDiscomfort",0.83059808720298
"s__Human_papillomavirus_type_134","Eukaryotic virus","Irritation_burning_1_to_10","NotApplicable",999,"NotApplicable","Irritation_burning_1_to_10",-0.283333333333333,0.675965967841076,"Irritation_burning_1_to_10","SkinIrritation","General","Numeric","Irritation burning 1 to 10","SkinDiscomfort",0.83059808720298
"s__Human_papillomavirus_type_134","Eukaryotic virus","Irritation_pain_1_to_10","NotApplicable",999,"NotApplicable","Irritation_pain_1_to_10",-0.283333333333333,0.675965967841076,"Irritation_pain_1_to_10","SkinIrritation","General","Numeric","Irritation pain 1 to 10","SkinDiscomfort",0.83059808720298
"s__Human_papillomavirus_type_134","Eukaryotic virus","TEWL_forearm","NotApplicable",999,"NotApplicable","TEWL_forearm",0.224215425002983,0.55919178986694,"TEWL_forearm","SkinPhysio","Forearm","Numeric","TEWL forearm","SkinPhysio",0.83059808720298
"s__Human_papillomavirus_type_134","Eukaryotic virus","Irritation_heat_1_to_10","NotApplicable",999,"NotApplicable","Irritation_heat_1_to_10",-0.2125,0.675965967841076,"Irritation_heat_1_to_10","SkinIrritation","General","Numeric","Irritation heat 1 to 10","SkinDiscomfort",0.83059808720298
"s__Human_papillomavirus_type_134","Eukaryotic virus","TEWL_cheek","NotApplicable",999,"NotApplicable","TEWL_cheek",0.0557998021453182,0.615364521805387,"TEWL_cheek","SkinPhysio","Cheek","Numeric","TEWL cheek","SkinPhysio",0.83059808720298
"s__Staphylococcus_phage_StB27","Bacteriophage","Currently_have_skin_conditions_not_described_above_Yes","1",12,"0","Currently_have_skin_conditions_not_described_above_Yes1",-0.416666666666667,0.138324037515764,"Currently_have_skin_conditions_not_described_above","SkinCondition","General","Character","Currently have skin conditions not described above","SkinDisease",0.839926326973881
"s__Staphylococcus_phage_StB27","Bacteriophage","Routine_cosmetic_use_on_face_Yes","1",5,"0","Routine_cosmetic_use_on_face_Yes1",0.4,0.0426079063051844,"Routine_cosmetic_use_on_face","SkinBehavior","Face","Character","Routine cosmetic use on face","SkinBehavior",0.839926326973881
"s__Staphylococcus_phage_StB27","Bacteriophage","PH_forearm","NotApplicable",999,"NotApplicable","PH_forearm",0.269435244192083,0.345699459017048,"PH_forearm","SkinPhysio","Forearm","Numeric","PH forearm","SkinPhysio",0.839926326973881
"s__Staphylococcus_phage_StB27","Bacteriophage","Healthy_scalp_Yes","1",8,"0","Healthy_scalp_Yes1",0.25,0.21494612068098,"Healthy_scalp","SkinHealth","Scalp","Character","Healthy scalp","SkinDiscomfort",0.839926326973881
"s__Staphylococcus_phage_StB27","Bacteriophage","Ethnicity_South_East_Asian","1",3,"0","Ethnicity_South_East_Asian1",0.242424242424242,0.324630126774679,"Ethnicity","Demographics","Demographics","Character","Ethnicity (South East Asian)","Demographics",0.839926326973881
"s__Staphylococcus_phage_StB27","Bacteriophage","Body_wash_last_time_This_morning","1",11,"0","Body_wash_last_time_This_morning1",-0.242424242424242,0.324630126774679,"Body_wash_last_time","SkinBehavior","Body","Character","Body wash last time (This morning)","SkinBehavior",0.839926326973881
"s__Staphylococcus_phage_StB27","Bacteriophage","Body_wash_last_time_Yesterday_evening","1",3,"0","Body_wash_last_time_Yesterday_evening1",0.242424242424242,0.324630126774679,"Body_wash_last_time","SkinBehavior","Body","Character","Body wash last time (Yesterday evening)","SkinBehavior",0.839926326973881
"s__Staphylococcus_phage_StB27","Bacteriophage","Hair_wash_last_time_This_morning","1",5,"0","Hair_wash_last_time_This_morning1",-0.222222222222222,0.29017124025684,"Hair_wash_last_time","SkinBehavior","Scalp","Character","Hair wash last time (This morning)","SkinBehavior",0.839926326973881
"s__Staphylococcus_phage_StB27","Bacteriophage","Current_or_past_acne_severity_Severe","1",5,"0","Current_or_past_acne_severity_Severe1",-0.222222222222222,0.29017124025684,"Current_or_past_acne_severity","SkinCondition","General","Character","Current or past acne severity (Severe)","SkinDisease",0.839926326973881
"s__Staphylococcus_phage_StB27","Bacteriophage","Routinely_shave_bikine_line_Yes","1",5,"0","Routinely_shave_bikine_line_Yes1",-0.222222222222222,0.29017124025684,"Routinely_shave_bikine_line","SkinBehavior","Pubic","Character","Routinely shave bikine line","SkinBehavior",0.839926326973881
"s__Staphylococcus_phage_StB27","Bacteriophage","Routinely_remove_body_hair_Yes","1",9,"0","Routinely_remove_body_hair_Yes1",0.222222222222222,0.29017124025684,"Routinely_remove_body_hair","SkinBehavior","General","Character","Routinely remove body hair","SkinBehavior",0.839926326973881
"s__Staphylococcus_phage_StB27","Bacteriophage","Gender_Female","1",10,"0","Gender_Female1",0.2,0.372784277071192,"Gender","Demographics","Demographics","Character","Gender (Female)","Demographics",0.839926326973881
"s__Staphylococcus_phage_StB27","Bacteriophage","History_of_skin_medical_treatment_Yes","1",4,"0","History_of_skin_medical_treatment_Yes1",-0.2,0.372784277071192,"History_of_skin_medical_treatment","SkinTreatment","General","Character","History of skin medical treatment","SkinDisease",0.839926326973881
"s__Staphylococcus_phage_StB27","Bacteriophage","Gender_Male","1",4,"0","Gender_Male1",-0.2,0.372784277071192,"Gender","Demographics","Demographics","Character","Gender (Male)","Demographics",0.839926326973881
"s__Staphylococcus_phage_StB27","Bacteriophage","Itchy_skin_overall_Yes","1",4,"0","Itchy_skin_overall_Yes1",-0.2,0.372784277071192,"Itchy_skin_overall","SkinItch","General","Character","Itchy skin overall","SkinDiscomfort",0.839926326973881
"s__Staphylococcus_phage_StB27","Bacteriophage","Ethnicity_South_Asian","1",4,"0","Ethnicity_South_Asian1",-0.2,0.372784277071193,"Ethnicity","Demographics","Demographics","Character","Ethnicity (South Asian)","Demographics",0.839926326973881
"s__Staphylococcus_phage_StB27","Bacteriophage","Hair_length_<_5cm","``1",3,"0","`Hair_length_<_5cm`1",-0.181818181818182,0.464272993911741,"Hair_length","SkinBehavior","Scalp","Character","Hair length (< 5cm)","SkinBehavior",0.839926326973881
"s__Staphylococcus_phage_StB27","Bacteriophage","Hair_length_>_5cm","``1",11,"0","`Hair_length_>_5cm`1",0.181818181818182,0.464272993911741,"Hair_length","SkinBehavior","Scalp","Character","Hair length (> 5cm)","SkinBehavior",0.839926326973881
"s__Staphylococcus_phage_StB27","Bacteriophage","Hair_wash_last_time_>_2_days_ago","``1",3,"0","`Hair_wash_last_time_>_2_days_ago`1",-0.181818181818182,0.464272993911741,"Hair_wash_last_time","SkinBehavior","Scalp","Character","Hair wash last time (> 2 days ago)","SkinBehavior",0.839926326973881
"s__Staphylococcus_phage_StB27","Bacteriophage","Routinely_shave_bikine_line_last_time_Today","1",3,"0","Routinely_shave_bikine_line_last_time_Today1",-0.181818181818182,0.464272993911741,"Routinely_shave_bikine_line_last_time","SkinBehavior","Pubic","Character","Routinely shave bikine line last time (Today)","SkinBehavior",0.839926326973881
"s__Staphylococcus_phage_StB27","Bacteriophage","Currently_have_a_skin_condition_Yes","1",3,"0","Currently_have_a_skin_condition_Yes1",-0.181818181818182,0.464272993911741,"Currently_have_a_skin_condition","SkinCondition","General","Character","Currently have a skin condition","SkinDisease",0.839926326973881
"s__Staphylococcus_phage_StB27","Bacteriophage","Suffered_from_dry_skin_in_the_last_year_Yes","1",3,"0","Suffered_from_dry_skin_in_the_last_year_Yes1",-0.181818181818182,0.464272993911741,"Suffered_from_dry_skin_in_the_last_year","SkinDry","General","Character","Suffered from dry skin in the last year","SkinDiscomfort",0.839926326973881
"s__Staphylococcus_phage_StB27","Bacteriophage","Ever_have_had_eczema_Yes","1",3,"0","Ever_have_had_eczema_Yes1",-0.181818181818182,0.464272993911741,"Ever_have_had_eczema","SkinCondition","General","Character","Ever have had eczema","SkinDisease",0.839926326973881
